,word,count,word_len
21729,readrecommended,1,15
28453,nonoverwhelming,1,15
21694,eventsspillsdog,1,15
29846,storiesstraight,1,15
34675,yourselfplastic,1,15
39564,entertainmentat,1,15
24160,footballwhether,1,15
29863,britishnigerian,1,15
31873,winoccasionally,1,15
36251,equivalentsized,1,15
16853,nonprofessional,2,15
24227,overconsumption,1,15
24225,selfreferential,1,15
40685,anallyretentive,1,15
28456,homemaintenance,1,15
29864,heartbreakingly,1,15
13155,personalization,3,15
28463,professionalism,1,15
31992,bargainbasement,1,15
13214,inappropriately,3,15
25628,glassseverybody,1,15
25725,spencerflemings,1,15
28184,straighttovideo,1,15
34191,similarlypriced,1,15
30088,middlebeginning,1,15
24346,invisibleshield,1,15
28169,understandquick,1,15
16962,dissatisfaction,2,15
39434,surfacelaminate,1,15
36840,appropriateness,1,15
17510,technologically,2,15
39422,civilizationcan,1,15
21862,mexicocaribbean,1,15
37998,showgirlartists,1,15
36280,instructionsbut,1,15
39511,unprepossessing,1,15
25777,yearbeforelasts,1,15
31811,selfopinionated,1,15
10697,earthshattering,4,15
30567,jackofalltrades,1,15
39349,cheapcheapcheap,1,15
30623,aluminumcutting,1,15
17529,cinematographer,2,15
39373,othersobviously,1,15
30065,tableorganizier,1,15
37888,lbssurprisingly,1,15
36993,gamachebeauvoir,1,15
29770,entertainingyou,1,15
24362,acknowledgement,1,15
28079,comfortablecozy,1,15
12915,incompatibility,3,15
39679,selfrealizatios,1,15
21509,infrastructurei,1,15
21443,aimingeffective,1,15
21508,anthonyscustoms,1,15
24345,comfortablenice,1,15
8366,collectiongreat,7,15
16553,headphonesgreat,2,15
21989,compellingdidnt,1,15
24442,sheathcoversaya,1,15
33160,frustrationfree,1,15
16643,actionadventure,2,15
39693,bloodsplattered,1,15
14484,distinguishable,3,15
36806,poorlyconceived,1,15
28597,clipperanbsphas,1,15
17890,internationally,2,15
39323,troubleshooting,1,15
10318,recommendedthis,5,15
25863,staplerobsessed,1,15
39702,comfortablevery,1,15
25852,charactersgreat,1,15
27525,recommendedwill,1,15
37861,perfectionseiko,1,15
24431,entertainingthe,1,15
24432,differencegreat,1,15
29349,planninghowever,1,15
32977,replacementvery,1,15
22144,noisierclunkier,1,15
37803,elasticflexible,1,15
38009,innermonologues,1,15
30699,quickturnaround,1,15
18124,nonintimidating,2,15
25936,semitransparent,1,15
25571,livingasseniors,1,15
23778,mysterythriller,1,15
34507,clientbydefault,1,15
24568,confidentiality,1,15
16496,batteryoperated,2,15
38132,servicewarranty,1,15
30795,readinteresting,1,15
34622,motiontriggered,1,15
29412,collectorbought,1,15
24593,withinyourhouse,1,15
36065,characterjulien,1,15
27602,englishjapanese,1,15
28698,informativethis,1,15
32173,writerdirectors,1,15
23604,unrealistically,1,15
15567,wellintentioned,2,15
33180,disappointedits,1,15
37010,charactershadnt,1,15
36134,productsknowing,1,15
22130,littledifferent,1,15
27754,instantaneously,1,15
22137,italianproduced,1,15
37109,unknowledgeable,1,15
34054,authorpublisher,1,15
18147,behindthescenes,2,15
14674,environmentally,3,15
34218,comfortabledont,1,15
31734,noisecancelling,1,15
12641,gartersupporter,3,15
15294,selfimprovement,2,15
25555,differencewhile,1,15
18104,interactivevery,2,15
37089,bricksandmortar,1,15
12739,wellconstructed,3,15
23588,shifterswhoaaaa,1,15
30741,viewingvacation,1,15
15205,photojournalist,2,15
39276,cleaningvinegar,1,15
35378,coversationsand,1,15
27654,moldmildewfunky,1,15
23641,customerservice,1,15
14273,selfdeprecating,3,15
22190,treatmentbetter,1,15
39751,femalesdominant,1,15
7560,postapocalyptic,8,15
27888,openuponmydeath,1,15
21992,historydropping,1,15
27909,deadbrightstuck,1,15
38000,schnauzerpoodle,1,15
28242,rationalization,1,15
24067,installmentthis,1,15
31830,condescendingly,1,15
33574,speakerphoneish,1,15
25879,mozzarellaafter,1,15
34023,workplaceoffice,1,15
27725,selfdestructing,1,15
27727,adultsgreatthis,1,15
35423,mismanufactured,1,15
29413,owningoperating,1,15
23568,individualsteve,1,15
38234,yellowishorange,1,15
10101,extraordinarily,5,15
34841,iridescentblack,1,15
35456,scratchesshakes,1,15
39139,postapocolyptic,1,15
28668,nickelanddiming,1,15
18453,multifunctional,2,15
22203,slightlyintense,1,15
39196,worksinprogress,1,15
25463,hackmansarandon,1,15
30750,damascuspattern,1,15
24529,unforgivableand,1,15
21271,cookingprepping,1,15
30040,qualityergomics,1,15
24328,stephensmorland,1,15
25597,productprobably,1,15
22942,underhandedness,1,15
40508,desktableoffice,1,15
2216,sslimagesamazon,60,15
20929,selfdeprecation,1,15
38524,rubberyvinylpvc,1,15
41566,seriesfantastic,1,15
32594,thirteenyearold,1,15
22351,swordandsorcery,1,15
3551,straightforward,27,15
38964,collapsiblealso,1,15
25096,landterrestrial,1,15
32690,interestingthis,1,15
14755,selfdestructive,2,15
40285,chilicurrysauce,1,15
18842,chronologically,2,15
39036,timepiecezipper,1,15
37725,selfdestruction,1,15
23482,shortholdhandle,1,15
37255,ophthalmologist,1,15
18857,sympathetically,2,15
26697,unbreakablealso,1,15
12263,unintentionally,3,15
38724,watchanbspcomes,1,15
41687,stereotypically,1,15
38638,crystallization,1,15
31117,bittenscratched,1,15
41082,selfmutilations,1,15
30993,organizereditor,1,15
28755,wordgamingphone,1,15
30908,meatandpotatoes,1,15
20810,selfexplanatory,1,15
32607,entertainingbut,1,15
29505,correctlybought,1,15
22317,italianspeaking,1,15
26673,comfortablelove,1,15
32352,advertisedworks,1,15
40966,fightingdefense,1,15
37264,latesttothegame,1,15
29444,horizontallyall,1,15
37723,helpfulhorrible,1,15
20350,sandwichesthese,1,15
34398,displaygraphics,1,15
29497,granddaughtermy,1,15
27214,fundamentalists,1,15
24759,interestingvery,1,15
22642,predictablethis,1,15
38926,rifleanbsppiece,1,15
33373,dialectsaccents,1,15
35550,acontecimientos,1,15
15128,interchangeably,2,15
23359,tongueburningly,1,15
16065,fourteenyearold,2,15
37273,personification,1,15
26299,comimagesijxwpw,1,15
34763,voicecontrolled,1,15
22388,indianpakistani,1,15
22764,removedreplaced,1,15
17776,earlynineteenth,2,15
15136,differentiation,2,15
38884,readbytheauthor,1,15
25157,strengthyounger,1,15
10028,comimagesijxwps,5,15
23451,expressionistic,1,15
20304,clippersanbspto,1,15
11601,comimagesijxwfw,4,15
32621,beingscreatures,1,15
25102,electromagnetic,1,15
22358,unbelievability,1,15
30936,hollywoodbilila,1,15
34787,largesmallmouth,1,15
25138,phonecontrolled,1,15
22419,disappointedive,1,15
41652,sciencyfictiony,1,15
28825,uncategorizable,1,15
24791,workappropriate,1,15
22721,productsolution,1,15
24803,selfconsciously,1,15
31528,synchronization,1,15
30290,waterresistance,1,15
19908,experimentation,2,15
28940,tiredespecially,1,15
18981,unconditionally,2,15
36563,buildityourself,1,15
31075,learningperfect,1,15
35696,bestbullysticks,1,15
28956,asbestosinduced,1,15
38404,movieparanormal,1,15
25066,repetitivechloe,1,15
35975,itemeffectively,1,15
32240,dextrousskilled,1,15
26420,humanitarianism,1,15
39921,quickdisconnect,1,15
31517,poppingcracking,1,15
28974,storylinesholes,1,15
34802,entretenimiento,1,15
23185,toddlerfriendly,1,15
20020,attachmentnbspa,1,15
35620,alreadyassemble,1,15
20786,functionalthese,1,15
38831,mufflerentrance,1,15
20186,selfrealization,1,15
41550,characterstheir,1,15
37397,italianamerican,1,15
28941,belowthesurface,1,15
15367,wheelchairbound,2,15
17789,takenoprisoners,2,15
35236,caloriecounting,1,15
5507,africanamerican,13,15
27530,enjoyablestayed,1,15
25671,heavyhandedness,1,15
35680,stupendousuntil,1,15
38379,conflictromance,1,15
35974,aproximadamente,1,15
39879,sadomasochistic,1,15
32486,morefrightening,1,15
40449,whiteanbspwhich,1,15
24916,granddaughtersi,1,15
38619,messdissipation,1,15
26389,granddaughterwe,1,15
37617,standardization,1,15
20185,binocularssmall,1,15
15921,highperformance,2,15
32233,sinatrafication,1,15
31158,batterydraining,1,15
22905,thickerstronger,1,15
20016,navigatorescape,1,15
31195,afroengineering,1,15
3783,mysterysuspense,25,15
38676,boltsshockswild,1,15
38708,ultraimpressive,1,15
4245,interchangeable,21,15
36494,povertystricken,1,15
34880,trickortreating,1,15
31896,successfulwould,1,15
31276,hoochiechoochie,1,15
35943,enforcementibid,1,15
32269,dumbcluckworthy,1,15
33874,distinctiveness,1,15
22459,roomtemperature,1,15
22555,funtainersthese,1,15
37457,credibleoverall,1,15
25206,oftenoverlooked,1,15
34831,classicsanbspby,1,15
22574,mindcontrolling,1,15
36620,translucenceits,1,15
33913,chineselanguage,1,15
24882,wellrepresented,1,15
35639,announcementsmy,1,15
40178,comimagesibhqqy,1,15
41216,humanscomputers,1,15
26450,conveniencesall,1,15
1893,aspacingtopmini,75,15
38839,storiesnovellas,1,15
32457,actorsactresses,1,15
31258,demanufacturing,1,15
22867,hubbahubbahubba,1,15
22918,observantbright,1,15
38700,precisionnormal,1,15
36464,usersmynametemp,1,15
36472,machinefinished,1,15
38690,faucetotherwise,1,15
24159,forunderstanding,1,16
19548,comimagesibopsws,2,16
28283,recommendlooking,1,16
39586,astrophotography,1,16
13256,extraterrestrial,3,16
5722,thoughtprovoking,13,16
28164,agounfortunately,1,16
24182,breathtakeoscope,1,16
24394,alfred_carpenter,1,16
37069,reasonablepeople,1,16
23728,computernotebook,1,16
30718,dollarsincluding,1,16
30715,expenseincluding,1,16
27834,poetgwennewclear,1,16
32840,marijuanaalcohol,1,16
30601,amazontimberland,1,16
39271,yellowishgreyish,1,16
14422,autobiographical,3,16
24526,thisismysymphony,1,16
35117,uncomfortableand,1,16
33281,noquestionsasked,1,16
17486,threedimensional,2,16
35366,chemistryswooney,1,16
16556,comimagesibopsui,2,16
27307,storyadventurous,1,16
27362,inexpensivenbspa,1,16
39795,hilariousgrisham,1,16
30906,greatgrandmother,1,16
39789,fatherofthebride,1,16
16290,hauptstadtkoffer,2,16
24733,reasonablypriced,1,16
16438,somethingsomeone,2,16
16456,disproportionate,2,16
14679,enthusiastically,3,16
24018,notquitematching,1,16
40754,wordsexpressions,1,16
41929,greatconsidering,1,16
30535,artistsdirectors,1,16
24303,dustfingerprints,1,16
28222,stretchesadjusts,1,16
24282,easytounderstand,1,16
39477,exhilaratinglove,1,16
23869,incomprehensible,1,16
31088,enthusiastbought,1,16
17894,africanamericans,2,16
31192,neanderthalithic,1,16
34369,stylequalitysize,1,16
38660,shreddingtearing,1,16
40216,directorproducer,1,16
20117,purseseverything,1,16
26794,inspirationaland,1,16
33801,superinteresting,1,16
34366,almostgirlfriend,1,16
25094,shenaneginsgreat,1,16
26679,cleaneranbspwith,1,16
26661,mysterydetective,1,16
31325,quasidocumentary,1,16
22912,characterspretty,1,16
38806,checkingchanging,1,16
32494,brandexpresssaks,1,16
35651,priceperformance,1,16
32485,languagespecific,1,16
35652,spaceconstrained,1,16
38924,asylumgestapoand,1,16
35758,expansionsreplay,1,16
35263,performancegreat,1,16
40458,entertainmentthe,1,16
27118,beautifullydrawn,1,16
16644,counterclockwise,2,16
37032,incandescentlike,1,16
8737,comimagesiaopsgs,6,16
36786,shortsswimshorts,1,16
37361,connectionseemed,1,16
23555,pseudointerviews,1,16
24893,headphoneglasses,1,16
41707,livelyfastmoving,1,16
24944,welovekinkdotcom,1,16
38760,designedforapple,1,16
24988,titledescription,1,16
27006,spektrumfatshark,1,16
26998,arborretractable,1,16
26994,microadjustments,1,16
29983,videomusicmovies,1,16
30270,lewisperformance,1,16
41074,survivedfinished,1,16
29542,servicedelivered,1,16
6307,misunderstanding,11,16
28773,emergenciesgreat,1,16
19282,gastrointestinal,2,16
36677,jenasbookreviews,1,16
37322,meanspiritedness,1,16
20376,professionalthen,1,16
38221,matesexybreasted,1,16
33721,packanbspornbspa,1,16
36201,blocksanbspright,1,16
22538,workrelationship,1,16
26124,anthropomorphize,1,16
31799,downgradeupgrade,1,16
21184,blutoothwireless,1,16
30009,adrenalinepacked,1,16
15663,sensationalistic,2,16
41202,teammoniandomega,1,16
21428,incontrovertible,1,16
38408,leevalleyveritas,1,16
22129,individuallythey,1,16
26071,selfsatisfaction,1,16
29346,puppetsreligious,1,16
37786,educatedinformed,1,16
4367,characterization,20,16
11450,drillscrewdriver,4,16
31876,storagetransport,1,16
34623,occasionalcasual,1,16
29231,itselfseamlessly,1,16
33669,purselunchlaptop,1,16
40999,transcontinental,1,16
38268,headphonespeaker,1,16
26205,involvedmarshall,1,16
25401,phillipsflathead,1,16
21806,outsidetooutside,1,16
38480,escapeandcapture,1,16
25741,foodprescription,1,16
25743,mentallydisabled,1,16
35892,underappreciated,1,16
15745,miscommunication,2,16
34328,afterwardkeeping,1,16
20778,selfpreservation,1,16
968,classalinknormal,187,16
40115,inexpensivecheap,1,16
31489,multidimensional,1,16
28960,fashiondesigners,1,16
32185,mindfulnessbased,1,16
22271,programmerhacker,1,16
21731,madeinchinaesque,1,16
9974,disappointingthe,5,16
34604,plugstransformer,1,16
32072,counterintuitive,1,16
21852,stationreception,1,16
24585,headacheinducing,1,16
18497,characterisation,2,16
23623,sendingreceiving,1,16
40903,schnauzerwheaten,1,16
34012,causeeffectcause,1,16
23627,militaryspecific,1,16
18440,unapologetically,2,16
27702,funnyrecommended,1,16
18501,emergenciesthese,2,16
35370,historygreatthis,1,16
9007,disappointedthis,6,16
30304,buzzingcrackling,1,16
39002,entertainingsuch,1,16
24707,paraarcheologist,1,16
27161,configurationbut,1,16
29970,flowerleafbranch,1,16
22605,downunbelievably,1,16
38874,antiinflammatory,1,16
30774,replacementgreat,1,16
34935,extradimensional,1,16
32700,motorheadphonres,1,16
18622,happilyeverafter,2,16
33657,readyforanything,1,16
36728,cloudyrainysnowy,1,16
36232,multimillionaire,1,16
38281,talesinteresting,1,16
25176,recentlypurchase,1,16
40129,silvergoldbronze,1,16
35904,twentysomethings,1,16
25758,incrediblysheddy,1,16
22210,tabletshopefully,1,16
21826,memoiranalytical,1,16
38375,lightheartedness,1,16
41454,overlysubjective,1,16
31548,paralleluniverse,1,16
29514,energizerduracel,1,16
29047,anyoneespecially,1,16
38381,recentlydeceased,1,16
39992,wobblyunbalanced,1,16
38476,industrystandard,1,16
25266,creaturewerewolf,1,16
36094,comfortablethese,1,16
27510,backupreplacement,1,17
24752,lessthanimpressed,1,17
20686,offwhiteyellowish,1,17
34548,virusendstheworld,1,17
38298,parentgrandparent,1,17
27406,comimagesifwqtbxq,1,17
27320,secureconsidering,1,17
38971,originalgreatthis,1,17
40965,questioncomplaint,1,17
30898,unbrokenuncrushed,1,17
25408,togetherotherwise,1,17
37368,readingcharacters,1,17
12046,attentiongrabbing,4,17
21113,comimagesicmskoms,1,17
35864,artisthoweverhere,1,17
29017,dripperprewetting,1,17
23594,fascinatingreally,1,17
27029,supportprotection,1,17
23581,insertingremoving,1,17
24616,characterssetting,1,17
27565,antislideantiskid,1,17
21068,nipplereminiscent,1,17
32704,militiaextremists,1,17
40929,calibrationmotors,1,17
18798,misrepresentation,2,17
21006,disrespectfulness,1,17
34504,gameanbspandnbspa,1,17
34606,supposedlyupdated,1,17
25978,headbandsweatband,1,17
20003,seamlessbrilliant,1,17
27053,hardwoodtilestone,1,17
30744,testrecalibration,1,17
37237,testingevaluation,1,17
24815,turkeythegoldfish,1,17
35589,furtheremboldened,1,17
19980,voltagecontrolled,2,17
37430,thanksgivingblack,1,17
29115,mobiletabletsmall,1,17
26460,politicalmilitary,1,17
33852,warmthickbloodsex,1,17
31624,charrierpapillona,1,17
26977,trademarkscliches,1,17
32543,numlockscrolllock,1,17
41041,secondhandtelling,1,17
22148,marriagebasically,1,17
33218,showunfortunately,1,17
40439,resizingreloading,1,17
40307,imitationknockoff,1,17
26966,filmmakerpresents,1,17
34036,lessthanhalfayear,1,17
25371,phonelaptoptablet,1,17
38394,unstabledefective,1,17
27476,perfectespecially,1,17
37218,pickingattracting,1,17
36462,institutionalized,1,17
35363,comimagesiaqfuqvs,1,17
36569,confidencebooster,1,17
27632,yaaaaaaaaaayyyyyy,1,17
24561,unpaintedunglazed,1,17
30762,creedanbspornbspa,1,17
32579,naturaleverything,1,17
29130,schoolspreschools,1,17
21217,averagefemalesize,1,17
26318,reliableeasytouse,1,17
33468,welldevelopedthis,1,17
24305,intenseintriguing,1,17
29831,nothatgoodlooking,1,17
20189,conceptualization,1,17
20817,psychocybernetics,1,17
39726,professionalgrade,1,17
40329,headofficeimposed,1,17
29383,sellerdescription,1,17
26385,brasuuuuuuuuuuper,1,17
41106,playingexercising,1,17
40120,christmasbirthday,1,17
23809,charmingbeguiling,1,17
32495,paranormalshifter,1,17
36785,photographerwhich,1,17
23866,amazingeverything,1,17
31739,styleschristopher,1,17
41732,playsetanbspwhich,1,17
27964,rimfirecentralcom,1,17
30940,sealingfiltration,1,17
8539,comimagesiaoepsws,6,17
39713,pimplesblackheads,1,17
37037,comimagesiejwpsrb,1,17
35218,dogfoodadvisorcom,1,17
32382,misinterpretation,1,17
30630,understandability,1,17
35240,warmthtreadhiking,1,17
40799,selfconsciousness,1,17
25582,inconspiciousness,1,17
30281,packageeverything,1,17
13711,microdermabrasion,3,17
35228,instructionscover,1,17
36200,fantasyparanormal,1,17
25073,issueslimitations,1,17
34491,lettersstatements,1,17
24003,grillanbspinstead,1,17
28587,awesomecharacters,1,17
36984,nondiscriminatory,1,17
39417,certifiedanbspand,1,17
21807,detergentsolution,1,17
20426,rottweilermastiff,1,17
31285,sourcesconstructs,1,17
14373,comimagesiboepswi,3,17
39448,bodyarmsshoulders,1,17
24086,plasticscertified,1,17
26583,relationshipafter,1,17
21548,passiveaggressive,1,17
35890,screwdriverremote,1,17
16132,computergenerated,2,17
24187,windowcompartment,1,17
36238,unclearmisleading,1,17
39650,startingdifficult,1,17
32978,selfdetermination,1,17
29570,audiobookreviewer,1,17
27135,comimagesibkvpnus,1,17
27820,miscommunications,1,17
27147,comimagesifuxvsvq,1,17
40513,manufacturingdate,1,17
40084,smilewickedlyover,1,17
35109,wigglingadjusting,1,17
40198,tobaccoinfluenced,1,17
37525,shepherdretriever,1,17
15077,interrelationship,2,17
31878,expensivesounding,1,17
26660,batterieschargers,1,17
40072,sweatersweatshirt,1,17
21712,attachmentfocused,1,17
25679,saladsfromscratch,1,17
17007,indistinguishable,2,17
30931,dancerturnedmother,1,18
34916,encouraginghelping,1,18
27480,anglofrancocentric,1,18
26507,nodshomagesripoffs,1,18
21348,generationanbspand,1,18
26067,idvideoblockrsvwpk,1,18
30949,characteristically,1,18
40791,nightowlreviewscom,1,18
27332,actionandadventure,1,18
38082,awealthofknowledge,1,18
29100,camelcamelcamelcom,1,18
27771,franklyabyssmaland,1,18
33940,mannerparticularly,1,18
38888,comimagesijcvsccxs,1,18
41350,carmotorcycletruck,1,18
35364,strapscompartments,1,18
26948,comimagesiejwmpsrb,1,18
28206,allknowingparanoid,1,18
21445,hardwarecanuckscom,1,18
19619,shampooconditioner,2,18
39695,hippressurecooking,1,18
39100,horrorsupernatural,1,18
41151,scarvesthrowswraps,1,18
38557,entertainmentgreat,1,18
40762,waswellpredictable,1,18
20383,growthcounterspell,1,18
30349,suspenserlaughable,1,18
16160,greatgranddaughter,2,18
20598,beltjacketwhatever,1,18
39481,nontacticallooking,1,18
20535,starwriterproducer,1,18
39526,fatherdaughterlike,1,18
28486,pocketscompartment,1,18
20550,invisibletypefence,1,18
35271,processingshipping,1,18
35153,travelingadventure,1,18
1942,videoblockdivinput,72,18
34750,chaptersespecially,1,18
28778,solutionthankfully,1,18
36992,cinderellaisabella,1,18
29319,chromeanbspaerator,1,18
25416,penscrayonspencils,1,18
33367,disguisessurprises,1,18
23815,comwatchvfwlswrfdc,1,18
37918,idvideoblockravfnw,1,18
36271,predictableformula,1,18
24507,holidayappropriate,1,18
23757,dominantsubmissive,1,18
24194,industrialstrength,1,18
23364,clothingshoponline,1,18
23310,grandchildrengreat,1,18
36446,settingsflashlight,1,18
24203,strengthespecially,1,18
16397,greatgrandchildren,2,18
23346,collarsaccessories,1,18
33158,catholicprotestant,1,18
24535,operationalization,1,18
32317,flatterthanaverage,1,18
25226,calvesdisappointed,1,18
34965,electronicsdimming,1,18
38716,serioushardworking,1,18
38351,antiinflammatories,1,18
